Date,Transactions,Withdrawal,Deposit
"Aug 29, 2025",Monthly Fee 100019110072589 CUR SVC CHRG 20250831,30.00,
"Aug 29, 2025",Transaction Charges,18.25,
"Aug 29, 2025",InternetBanking Tfr Debit CMS REF-TT156037957 AUGUST 202,"5,850.00",
"Aug 29, 2025",Outward Loc Clearing Payment CMS REF-TT156037561 TRANS,"250,001.25",
"Aug 29, 2025",Miscellaneous Credit POWERFUL PRINTIN|8027715121|Bricha,,"1,828.13"
"Aug 29, 2025",Outward Loc Clearing Payment CMS REF-TT156025586 INVOIC,"48,353.75",
"Aug 29, 2025",Internet Transfer Cr CMS REF-TT156020544 MEDIA SALES MO,,"12,504.50"
"Aug 29, 2025",Internet Transfer Cr CMS REF-TT156020091 TRINPAD MOBILE,,"181,760.07"
"Aug 28, 2025",Returned Cheques Db DIN: 524090000001 | A NSF - Not Sufficie,"2,067.19",
"Aug 28, 2025",Miscellaneous Credit IB Third Party I|123|Bricha Ltd|101010090,,"1,315.00"
"Aug 28, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,"23,573.26",
"Aug 28, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,26.25,
"Aug 28, 2025",Miscellaneous Credit BHARAT SHANAZ M|111111118|BRICHA,,"1,315.00"
"Aug 28, 2025",InternetBanking Tfr Debit CMS REF-TT155961407 BRICHA LTD,200.00,
"Aug 27, 2025",Outward Loc Clearing Payment CMS REF-TT155901431 Payme,"39,568.69",
"Aug 27, 2025",Internet Transfer Cr CMS REF-TT155900689 Jo Ad Glenber MO,,"2,958.75"
"Aug 27, 2025",Outward Loc Clearing Payment CMS REF-TT155899887 BLMED,"1,668.65",
"Aug 27, 2025",Miscellaneous Credit MASSY INTEGRATED|3410|BRICHA LTD|1,,"3,532.50"
"Aug 27, 2025",Internet Transfer Cr CMS REF-TT155891422 Payment For Mater,,"1,237.50"
"Aug 26, 2025",TTD CHEQUE ITEM DIN: 52388880020000415 0000008648,,"43,659.45"
"Aug 26, 2025",Transfer Debit BRICHA LIMITED BRICHA LIMITED FT25238PYP,"79,451.79",
"Aug 26, 2025",InternetBanking Tfr Debit CMS REF-TT155823659 PAYMENT O,"6,500.00",
"Aug 26, 2025",Clearing Deposits - Non-Branch BG 4506973 SN 00179 TT2523,,"263,972.67"
"Aug 26, 2025",Bulk Deposit TFS25238JGC29 Cash Deposit TTD 15612 40 BG,,"87,591.43"
"Aug 26, 2025",Internet Transfer Cr CMS REF-TT155819692 Caregiver August 2,,"6,000.00"
"Aug 25, 2025",TTD CHEQUE ITEM DIN: 523700090000295 0000008640,,"2,970.00"
"Aug 25, 2025",Transfer Debit CBTT ALLOCATION BRICHA LIMITED FT2523732,"79,451.79",
"Aug 25, 2025",Internet Transfer Cr CMS REF-TT155772469 From Print Rite Li,,"12,177.57"
"Aug 25, 2025",Transfer Debit CBTT ALLOCATION BRICHA LIMITED FT2523732,"79,451.79",
"Aug 25, 2025",InternetBanking Tfr Debit CMS REF-TT155767153 Payment on i,354.38,
"Aug 25, 2025",Internet Transfer Cr CMS REF-TT155754317 MEDIA SALES MO,,"89,391.12"
"Aug 25, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,"128,111.33",
"Aug 25, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,26.25,
"Aug 22, 2025",TTD CHEQUE ITEM DIN: 523400090000465 0000008647,,"67,912.00"
"Aug 22, 2025",Internet Transfer Cr CMS REF-TT155462493 PAYMENT MOBILE,,"70,980.65"
"Aug 22, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,"23,277.70",
"Aug 22, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,26.25,
"Aug 21, 2025",Miscellaneous Credit IB Third Party I|123|Bricha Limited|101010,,540.00
"Aug 21, 2025",Cash Withdrawal TT252330GX90F9DL,"1,314.35",
"Aug 21, 2025",Cash Withdrawal AS PER LTR DD 20 08 25 TT252330GX8ZQ4M,"1,314.35",
"Aug 20, 2025",Returned Cheques Db DIN: 523290000583 | A NSF - Not Sufficie,675.00,
"Aug 20, 2025",InternetBanking Tfr Debit CMS REF-TT155369388 Payment for,"1,150.00",
"Aug 20, 2025",TTD CHEQUE ITEM DIN: 523100090001163 0000008645,,985.56
"Aug 19, 2025",Miscellaneous Credit TTACSL 14772-000153,,"4,371.76"
"Aug 19, 2025",Returned Cheques Db DIN: 523190000735 | A NSF - Not Sufficie,"1,766.25",
"Aug 19, 2025",Internet Banking Crdt Cd Dr CMS REF-TT155288168 CREDIT CA,,"26,042.90"
"Aug 19, 2025",Internet Banking Crdt Cd Dr CMS REF-TT155288130 CREDIT CA,,"11,792.57"
"Aug 18, 2025",InternetBanking Tfr Debit CMS REF-TT155223679 PAYMENT O,"1,035.00",
"Aug 18, 2025",InternetBanking Tfr Debit CMS REF-TT155223453 Payment on i,"1,856.25",
"Aug 18, 2025",Outward Loc Clearing Payment CMS REF-TT155215621 Bricha,"143,323.84",
"Aug 18, 2025",Outward Loc Clearing Payment CMS REF-TT155215415 Bricha,"143,323.84",
"Aug 18, 2025",Bulk Deposit TFS252306F90Y S176 B4506970 CHQDEPOTH TT,,"94,268.38"
"Aug 18, 2025",Clearing Deposits - Non-Branch S177 B4506972 TT252300YCD,,"564,932.63"
"Aug 18, 2025",Internet Transfer Cr CMS REF-TT155189926 art and more settle,,"2,030.63"
"Aug 15, 2025",TTD CHEQUE ITEM DIN: 522700090000528 0000008646,,"49,507.97"
"Aug 15, 2025",BillPmt Internet Debit CMS REF-TT3746093 107580 Bricha Limi,"36,140.10",
"Aug 15, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,"20,597.84",
"Aug 15, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,23.75,
"Aug 14, 2025",Transfer 10845729 TT154874253-CMS REV TXN 20250814 FT2,"143,320.84",
"Aug 13, 2025",Outward Loc Clearing Payment CMS REF-TT154955137 PAYME,"22,471.55",
"Aug 13, 2025",Miscellaneous Credit MASSY INTEGRATED|3410|BRICHA LTD|1,,"1,573.87"
"Aug 12, 2025",TTD CHEQUE ITEM DIN: 52248880020003743 0000008643,,"3,150.00"
"Aug 12, 2025",Internet Transfer Cr CMS REF-TT154886876 payment from Swif,,360.00
"Aug 12, 2025",Outward Loc Clearing Payment CMS REF-TT154874253 Bricha,"143,323.84",
"Aug 12, 2025",InternetBanking Tfr Debit CMS REF-TT154851116 RENT FOR 13,"26,000.00",
"Aug 12, 2025",InternetBanking Tfr Debit CMS REF-TT154848802 PAYMENT O,"7,300.00",
"Aug 12, 2025",Internet Transfer Cr CMS REF-TT154787942 PAYMENT MOBILE,,"74,025.00"
"Aug 11, 2025",InternetBanking Tfr Debit CMS REF-TT154782678 RENTAL FOR,"4,500.00",
"Aug 11, 2025",Outward Loc Clearing Payment CMS REF-TT154782572 BRICH,"19,255.96",
"Aug 11, 2025",Outward Loc Clearing Payment CMS REF-TT154782568 PAYME,"2,121.25",
"Aug 11, 2025",Outward Loc Clearing Payment CMS REF-TT154782562 PAYME,"19,013.75",
"Aug 11, 2025",Outward Loc Clearing Payment CMS REF-TT154782552 PAYME,"2,645.00",
"Aug 11, 2025",InternetBanking Tfr Debit CMS REF-TT154782545 Payment on i,"4,677.75",
"Aug 11, 2025",InternetBanking Tfr Debit CMS REF-TT154782535 INVOICE NO,"2,531.25",
"Aug 11, 2025",InternetBanking Tfr Debit CMS REF-TT154782519 BRICHA LTD,"3,700.00",
"Aug 11, 2025",Internet Transfer Cr CMS REF-TT154774406 INV 3223 THE OFF,,"50,000.00"
"Aug 11, 2025",Internet Transfer Cr CMS REF-TT154775642 TRINPAD MOBILE,,"47,187.57"
"Aug 11, 2025",Internet Transfer Cr CMS REF-TT154721791 INVOICES AprilMay,,"14,286.39"
"Aug 11, 2025",TTD CHEQUE ITEM DIN: 522000090000907 0000008638,,"6,210.00"
"Aug 8, 2025",Principal Repayment MG2217990505,"11,237.01",
"Aug 8, 2025",Interest Repayment MG2217990505,62.03,
"Aug 8, 2025",TTD CHEQUE ITEM DIN: 52208880020000657 0000008637,,"23,157.03"
"Aug 8, 2025",Internet Transfer Cr CMS REF-TT154561006 Jo Ad Glenber Inv,,"4,830.00"
"Aug 8, 2025",Miscellaneous Credit GULF INSURANCE L|0100001471|Bricha L,,"2,015.55"
"Aug 8, 2025",Bulk Deposit TFS252200BR3H s175 b4507006 CHQDEPOTH TT,,"86,852.23"
"Aug 8, 2025",Internet Transfer Cr CMS REF-TT154535436 payment on sales,,"1,833.75"
"Aug 7, 2025",BillPmt Internet Debit CMS REF-TT3739775 2330000012555 Bri,214.79,
"Aug 7, 2025",BillPmt Internet Debit CMS REF-TT3739777 2330000007640 Bri,"9,719.30",
"Aug 7, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,"22,202.16",
"Aug 7, 2025",Miscellaneous Debits BRICHA LTD|2007176|BRICHA LTD|00101,23.75,
"Aug 7, 2025",Miscellaneous Credit POWERFUL PRINTIN|8027715121|Bricha,,"18,664.88"
"Aug 7, 2025",Internet Transfer Cr CMS REF-TT154433583 payment for cardst,,346.50
"Aug 6, 2025",TTD CHEQUE ITEM DIN: 52188880020004375 0000008634,,"6,830.00"
"Aug 6, 2025",Internet Transfer Cr CMS REF-TT154405037 payment from Swif,,140.63
"Aug 6, 2025",Internet Transfer Cr CMS REF-TT154397064 payment from Swif,,230.63
"Aug 6, 2025",TTD CHEQUE ITEM DIN: 521800090000438 0000008635,,"26,000.00"
"Aug 6, 2025",Miscellaneous Credit MASSY INTEGRATED|3410|BRICHA LTD|1,,"2,244.38"
"Aug 6, 2025",InternetBanking Tfr Debit CMS REF-TT154373578 Payment for,"1,220.00",
"Aug 6, 2025",InternetBanking Tfr Debit CMS REF-TT154373456 Payment on i,"2,070.00",
"Aug 6, 2025",InternetBanking Tfr Debit CMS REF-TT154373109 Payment on i,434.25,
